AttributeId;XMLcode;Description
98;SITUATION;Beliggenhet
180;JOB_TITLE;Stillingstittel
181;SECTOR;Sektor
183;JOB_CATEGORY/CATEGORY;Hovedkategori
184;JOB_CATEGORY/SUBCATEGORY;Underkategori
185;DURATION;Jobbtype
186;ROLE;Rolle
188;EXTENT;Arbeidstid
189;EDUCATION;Utdannelse
191;APPLICATION_ADDRESS/COMPANY_NAME;Firmanavn
195;COMPANY/COMPANY_NAME;Bedriftsnavn
200;TASKS/JOB_HEADING;Overskrift
201;TASKS/TEXT;Tekst
203;QUALIFICATIONS/JOB_HEADING;Overskrift
204;QUALIFICATIONS/TEXT;Tekst
206;PERSONAL_QUALITIES/JOB_HEADING;Overskrift
207;PERSONAL_QUALITIES/TEXT;Tekst
209;OFFER/JOB_HEADING;Overskrift
210;OFFER/TEXT;Tekst
213;START_DATE;Startdato
223;RECRUITER;rekrutteringgsbyrå
241;GENERAL_TEXT_JOB/GENERAL_HEADING;Annonsetekst, overskrift
242;GENERAL_TEXT_JOB/GENERAL_TEXT;Annonsetekst, tekst
272;NO_OF_POSITIONS;Antall stillinger
730;ENTERPRICE_NUMBER;Foretaksnummer
2010;INDUSTRY;Bransje
2012;OCCUPATION/GENERAL;Stillingsfunksjon
2013;OCCUPATION/SPECIALIZATION;Stillingsfunksjon
